reaction,server,reactant1,reactant2,no_of_carbon,no_of_nitrogen,no_of_oxygen,aromatic_exist,no_of_sgbonds,no_of_dbbonds,no_of_tpbonds
rmg_rxn_10668,RMG,[CH2]CCOC=O,CC=CON(N)C,8,2,3,False,9,2,0
rmg_rxn_10669,RMG,ON1CC1,CC=CON([NH])C,6,3,2,False,9,1,0
rmg_rxn_10670,RMG,NN=O,CC=CON([NH])C,4,4,2,False,6,2,0
rmg_rxn_10671,RMG,CCC=[N+]([CH2])[O-],CC=CON(N)C,8,3,2,False,9,2,0
rmg_rxn_10672,RMG,[CH2]OCCC[O],CC=CON(N)C,8,2,3,False,10,1,0
rmg_rxn_10673,RMG,[CH2]OC[CH]CO,CC=CON(N)C,8,2,3,False,10,1,0
rmg_rxn_10674,RMG,[CH2]O[CH]CCO,CC=CON(N)C,8,2,3,False,10,1,0
rmg_rxn_10675,RMG,[CH2]OCC[CH]O,CC=CON(N)C,8,2,3,False,10,1,0
rmg_rxn_10676,RMG,[CH2]CCOC[O],CC=CON(N)C,8,2,3,False,10,1,0
rmg_rxn_10677,RMG,[CH2]C[CH]OCO,CC=CON(N)C,8,2,3,False,10,1,0
rmg_rxn_10678,RMG,[CH2]CCO[CH]O,CC=CON(N)C,8,2,3,False,10,1,0
rmg_rxn_10679,RMG,[O-][NH+]=CC,CC=CON([NH])C,6,3,2,False,7,2,0
rmg_rxn_10680,RMG,[O-][NH+]=CC,CC=CON([NH])C,6,3,2,False,7,2,0
rmg_rxn_10681,RMG,[O-][NH2+]C=C,CC=CON([NH])C,6,3,2,False,7,2,0
rmg_rxn_10682,RMG,COC[CH]C[O],CC=CON(N)C,8,2,3,False,10,1,0
rmg_rxn_10683,RMG,CO[CH]CC[O],CC=CON(N)C,8,2,3,False,10,1,0
rmg_rxn_10684,RMG,[CH2]OCCC[O],CC=CON(N)C,8,2,3,False,10,1,0
rmg_rxn_10685,RMG,C[CH]COC[O],CC=CON(N)C,8,2,3,False,10,1,0
rmg_rxn_10686,RMG,CC[CH]OC[O],CC=CON(N)C,8,2,3,False,10,1,0
rmg_rxn_10687,RMG,[CH2]CCOC[O],CC=CON(N)C,8,2,3,False,10,1,0
rmg_rxn_10688,RMG,[NH-][NH+]=CCC,CC=CON([NH])C,7,4,1,False,8,2,0
rmg_rxn_10689,RMG,[CH2]C[S],CC=CON(N)C,6,2,1,False,7,1,0
rmg_rxn_10690,RMG,[O-][NH+]1CN1,CC=CON([NH])C,5,4,2,False,9,1,0
rmg_rxn_10691,RMG,[OH],CC=CON(N)C,4,2,2,False,5,1,0
rmg_rxn_10692,RMG,[N]=O,CC=CON(N)C,4,3,2,False,5,2,0
rmg_rxn_10693,RMG,ONC=C,CC=CON([NH])C,6,3,2,False,7,2,0
rmg_rxn_10694,RMG,[CH2]S[CH2],CC=CON(N)C,6,2,1,False,7,1,0
rmg_rxn_10695,RMG,[N-][NH+]=CCC,CC=CON(N)C,7,4,1,False,8,2,0
rmg_rxn_10696,RMG,[N-]=[NH+]C(=[C]C)C,CC=CON(N)C,8,4,1,False,8,3,0
rmg_rxn_10697,RMG,N[N]O,CC=CON([NH])C,4,4,2,False,7,1,0
rmg_rxn_10698,RMG,CN=[N],CC=CON(N)C,5,4,1,False,6,2,0
rmg_rxn_10699,RMG,CN=N,CC=CON([NH])C,5,4,1,False,6,2,0
rmg_rxn_10700,RMG,C=[N],CC=CON(N)C,5,3,1,False,5,2,0
rmg_rxn_10701,RMG,O1ON1,CC=CON([NH])C,4,3,3,False,5,1,0
rmg_rxn_10702,RMG,C[CH][S],CC=CON(N)C,6,2,1,False,7,1,0
rmg_rxn_10703,RMG,[O]N=[N],CC=CON(N)C,4,4,2,False,6,2,0
rmg_rxn_10704,RMG,CC=CON([NH])C,C=C=C(C)CCC,11,2,1,False,9,3,0
rmg_rxn_10705,RMG,CC=CON([NH])C,CC(=C=C)NCC,10,3,1,False,9,3,0
rmg_rxn_10706,RMG,[CH2]OCOC=C,CC=CON(N)C,8,2,3,False,9,2,0
rmg_rxn_10707,RMG,CC=CON(N)C,C[C]=C(C)C=CC,11,2,1,False,9,3,0
rmg_rxn_10708,RMG,C[CH]C=NN,CC=CON(N)C,7,4,1,False,8,2,0
rmg_rxn_10709,RMG,C[C]=CC,CC=CON(N)C,8,2,1,False,7,2,0
rmg_rxn_10710,RMG,[CH3],CC=CON(N)C,5,2,1,False,5,1,0
rmg_rxn_10711,RMG,ON=N,CC=CON([NH])C,4,4,2,False,6,2,0
rmg_rxn_10712,RMG,ON=[N],CC=CON(N)C,4,4,2,False,6,2,0
rmg_rxn_10713,RMG,C[N][NH],CC=CON(N)C,5,4,1,False,7,1,0
rmg_rxn_10714,RMG,[N-]([NH3+])C(=C=C)C,CC=CON([NH])C,8,4,1,False,8,3,0
rmg_rxn_10715,RMG,CC=CO[O],CC=CON(N)C,7,2,3,False,8,2,0
rmg_rxn_10716,RMG,CC(=C=C)NN,CC=CON([NH])C,8,4,1,False,8,3,0
rmg_rxn_10717,RMG,CC=CON([NH])C,CCNOC=CC,9,3,2,False,10,2,0
rmg_rxn_10718,RMG,CC=CON([NH])C,CC=CO[NH+](C)[NH-],8,4,2,False,10,2,0
rmg_rxn_10719,RMG,[CH2]C[O],CC=CON(N)C,6,2,2,False,7,1,0
rmg_rxn_10720,RMG,[N-]([NH3+])C=CC,CC=CON([NH])C,7,4,1,False,8,2,0
rmg_rxn_10721,RMG,[NH-][NH2+]C=CC,CC=CON([NH])C,7,4,1,False,8,2,0
rmg_rxn_10722,RMG,[NH],CC=CON(N)C,4,3,1,False,5,1,0
rmg_rxn_10723,RMG,[O-][NH+]=C,CC=CON([NH])C,5,3,2,False,6,2,0
rmg_rxn_10724,RMG,CC[NH],CC=CON(N)C,6,3,1,False,7,1,0
rmg_rxn_10725,RMG,C[CH]N,CC=CON(N)C,6,3,1,False,7,1,0
rmg_rxn_10726,RMG,[CH2]CN,CC=CON(N)C,6,3,1,False,7,1,0
rmg_rxn_10727,RMG,[CH2]N=O,CC=CON(N)C,5,3,2,False,6,2,0
rmg_rxn_10728,RMG,[CH2]CCO[CH2],CC=CON(N)C,8,2,2,False,9,1,0
rmg_rxn_10729,RMG,[O-][NH+]=O,CC=CON([NH])C,4,3,3,False,6,2,0
rmg_rxn_10730,RMG,[H],CC=CON(N)C,4,2,1,False,5,1,0
