RXN,RUN,SUCCESS,CHECKED,MOVED,ERROR
rmg_rxn_300,False,False,False,True,False
rmg_rxn_301,False,False,False,True,False
rmg_rxn_302,False,False,False,True,False
rmg_rxn_303,False,False,False,True,False
rmg_rxn_304,False,False,False,True,False
rmg_rxn_305,False,False,False,True,False
rmg_rxn_306,False,False,False,True,False
rmg_rxn_307,False,False,False,True,False
rmg_rxn_308,False,False,False,True,False
rmg_rxn_309,False,False,False,True,False
rmg_rxn_310,False,False,False,True,False
rmg_rxn_311,False,False,False,True,False
rmg_rxn_312,False,False,False,True,False
rmg_rxn_313,False,False,False,True,False
rmg_rxn_314,False,False,False,True,False
rmg_rxn_315,False,False,False,True,False
rmg_rxn_316,False,False,False,True,False
rmg_rxn_317,False,False,False,True,False
rmg_rxn_318,False,False,False,True,False
rmg_rxn_319,False,False,False,True,False
rmg_rxn_320,False,False,False,True,False
rmg_rxn_321,False,False,False,True,False
rmg_rxn_322,False,False,False,True,False
rmg_rxn_323,False,False,False,True,False
rmg_rxn_324,False,False,False,True,False
rmg_rxn_325,False,False,False,True,False
rmg_rxn_326,False,False,False,True,False
rmg_rxn_327,False,False,False,True,False
rmg_rxn_328,False,False,False,True,False
rmg_rxn_329,False,False,False,True,False
rmg_rxn_330,False,False,False,True,False
rmg_rxn_331,False,False,False,True,False
rmg_rxn_332,False,False,False,True,False
rmg_rxn_333,False,False,False,True,False
rmg_rxn_334,False,False,False,True,False
rmg_rxn_335,False,False,False,True,False
rmg_rxn_336,False,False,False,True,False
rmg_rxn_337,False,False,False,True,False
rmg_rxn_338,False,False,False,True,False
rmg_rxn_339,False,False,False,True,False
rmg_rxn_340,False,False,False,True,False
rmg_rxn_341,False,False,False,True,False
rmg_rxn_342,False,False,False,True,False
rmg_rxn_343,False,False,False,True,False
rmg_rxn_344,False,False,False,True,False
rmg_rxn_345,False,False,False,True,False
rmg_rxn_346,False,False,False,True,False
rmg_rxn_347,False,False,False,True,False
rmg_rxn_348,False,False,False,True,False
rmg_rxn_349,False,False,False,True,False
rmg_rxn_350,False,False,False,True,False
rmg_rxn_351,False,False,False,True,False
rmg_rxn_352,False,False,False,True,False
rmg_rxn_353,False,False,False,True,False
rmg_rxn_354,False,False,False,True,False
rmg_rxn_355,False,False,False,True,False
rmg_rxn_356,False,False,False,True,False
rmg_rxn_357,False,False,False,True,False
rmg_rxn_358,False,False,False,True,False
rmg_rxn_359,False,False,False,True,False
rmg_rxn_360,False,False,False,True,False
rmg_rxn_361,False,False,False,True,False
rmg_rxn_362,False,False,False,True,False
rmg_rxn_363,False,False,False,True,False
rmg_rxn_364,False,False,False,True,False
rmg_rxn_365,False,False,False,True,False
rmg_rxn_366,False,False,False,True,False
rmg_rxn_367,False,False,False,True,False
rmg_rxn_368,False,False,False,True,False
rmg_rxn_369,False,False,False,True,False
rmg_rxn_370,False,False,False,True,False
rmg_rxn_371,False,False,False,True,False
rmg_rxn_372,False,False,False,True,False
rmg_rxn_373,False,False,False,True,False
rmg_rxn_374,False,False,False,True,False
rmg_rxn_375,False,False,False,True,False
rmg_rxn_376,False,False,False,True,False
rmg_rxn_377,False,False,False,True,False
rmg_rxn_378,False,False,False,True,False
rmg_rxn_379,False,False,False,True,False
rmg_rxn_380,False,False,False,True,False
rmg_rxn_381,False,False,False,True,False
rmg_rxn_382,False,False,False,True,False
rmg_rxn_383,False,False,False,True,False
rmg_rxn_384,False,False,False,True,False
rmg_rxn_385,False,False,False,True,False
rmg_rxn_386,False,False,False,True,False
rmg_rxn_387,False,False,False,True,False
rmg_rxn_388,False,False,False,True,False
rmg_rxn_389,False,False,False,True,False
rmg_rxn_390,False,False,False,True,False
rmg_rxn_391,False,False,False,True,False
rmg_rxn_392,False,False,False,True,False
rmg_rxn_393,False,False,False,True,False
rmg_rxn_394,False,False,False,True,False
rmg_rxn_395,False,False,False,True,False
rmg_rxn_396,False,False,False,True,False
