reaction,server,reactant1,reactant2,no_of_carbon,no_of_nitrogen,no_of_oxygen,aromatic_exist,no_of_sgbonds,no_of_dbbonds,no_of_tpbonds
rxn_1190,Zeus,C#C[C]=C,C=CC(C)C=C,10,0,0,False,4,3,1
rxn_1043,Zeus,C=C[C](C)C,C=CCC,9,0,0,False,5,2,0
rxn_1615,Zeus,C#C[C](C)C,C=CC,8,0,0,False,4,1,1
rxn_1816,Zeus,S[CH]C=C,C=C=C,6,0,0,False,2,3,0
rxn_1185,Zeus,C=CC(C)C=C,C[C](C)c1ccccc1,15,0,0,True,6,2,0
rxn_1364,Zeus,C#CCC#C,C=[C]C=C,9,0,0,False,3,2,2
rxn_890,Zeus,C[C](S)C,CC,5,0,0,False,4,0,0
rxn_779,Zeus,OO,C[C](C)CO,4,0,3,False,5,0,0
rxn_1605,Zeus,S[C]=S,C=C,3,0,0,False,1,2,0
rxn_754,Zeus,[CH3],C=CCC,5,0,0,False,2,1,0
rxn_318,Zeus,[CH]=O,C,2,0,1,False,0,1,0
rxn_242,Zeus,CC=O,[CH3],3,0,1,False,1,1,0
rxn_1396,Zeus,C#CC(C)C#C,C=C[C](C)C,11,0,0,False,6,1,2
rxn_1378,Zeus,C#CCC#C,C[C](C=S)S,8,0,0,False,5,1,2
rxn_1884,Zeus,CCS,[c]1ccccc1,8,0,0,True,2,0,0
rxn_1850,Zeus,S[CH]C=C,CS,4,0,0,False,3,1,0
rxn_793,Zeus,[H][H],C=C[C](C)C=C,6,0,0,False,4,2,0
rxn_857,Zeus,S[CH]C=S,C,3,0,0,False,2,1,0
rxn_720,Zeus,[OH],NN=C,1,2,1,False,1,1,0
rxn_745,Zeus,C=CCC=C,[CH]1CCC2CCCCC12,14,0,0,False,12,2,0
rxn_1964,Zeus,C#C[CH]C#C,CC=S,7,0,0,False,3,1,2
rxn_1948,Zeus,CC(S)C,C=C[C]=S,6,0,0,False,4,2,0
rxn_13,Zeus,C=C(C)C,C[C](C)CO,8,0,1,False,6,1,0
rxn_1494,Zeus,[CH]=C,CCc1ccccc1,10,0,0,True,2,1,0
rxn_1310,Zeus,C#CC(C)C,C=C[C](C)C=C,11,0,0,False,6,2,1
rxn_1135,Zeus,C#C[CH]C,C=CCC=C,9,0,0,False,4,2,1
rxn_324,Zeus,[c]1ccccc1,CC,8,0,0,False,1,0,0
rxn_1922,Zeus,CC(S)C,[CH2]c1ccccc1,10,0,0,True,4,0,0
rxn_617,Zeus,C=[C]C,C1CCC2CCCC2C1,12,0,0,False,11,1,0
rxn_262,Zeus,Cc1ccccc1,[H],7,0,0,False,1,0,0
